geo,name,time,Internet users (%),Internet users,Non-internet users,Non Internet users
africa,Africa,1990,0.00,0.00,100.00,623927790.00
africa,Africa,1991,0.00,5010,100,640965311
africa,Africa,1992,0.00,15032,100,658212716
africa,Africa,1993,0.01,45667,100,675633003
africa,Africa,1994,0.02,105625,100,693196818
africa,Africa,1995,0.04,306399,100,710787021
africa,Africa,1996,0.06,429286,100,685165617
africa,Africa,1997,0.12,865484,100,741094067
africa,Africa,1998,0.22,1635076,100,758802565
africa,Africa,1999,0.36,2804021,100,781594213
africa,Africa,2000,0.55,4403627,99,799173994
africa,Africa,2001,0.73,6003208,99,817204540
africa,Africa,2002,1.13,9566243,99,833753491
africa,Africa,2003,1.55,13349403,98,850628356
africa,Africa,2004,2.93,25901372,97,859351561
africa,Africa,2005,3.59,32584505,96,874621278
africa,Africa,2006,4.38,40731288,96,889129177
africa,Africa,2007,5.43,51731512,95,901508961
africa,Africa,2008,6.65,64971053,93,912429158
africa,Africa,2009,7.74,77583218,92,924815046
africa,Africa,2010,10.07,103530093,90,924740891
africa,Africa,2011,11.52,121535156,88,933498653
africa,Africa,2012,13.56,146849999,86,935813062
africa,Africa,2013,15.69,175976935,84,945479879
africa,Africa,2014,18.58,213779257,81,937043022
africa,Africa,2015,23.96,282968230,76,897835123
africa,Africa,2016,23.25,281655750,77,929723888
africa,Africa,2017,29.07,361265175,71,881269376
africa,Africa,2018,29.44,375068287,71,899137235
africa,Africa,2019,30.44,397694401,70,908626171
asia,Asia,1990,0.00,139415,100,3181404940
asia,Asia,1991,0.01,291064,100,3237522915
asia,Asia,1992,0.02,613369,100,3291260253
asia,Asia,1993,0.04,1228235,100,3342919440
asia,Asia,1994,0.06,2153391,100,3393215973
asia,Asia,1995,0.12,4142085,100,3441945293
asia,Asia,1996,0.30,9603172,100,3227795557
asia,Asia,1997,0.66,22640566,99,3413161131
asia,Asia,1998,1.15,40267446,99,3452569369
asia,Asia,1999,2.10,75521672,98,3521240763
asia,Asia,2000,3.39,123711648,97,3522855040
asia,Asia,2001,4.47,167017616,96,3571273446
asia,Asia,2002,6.05,229110239,94,3557098538
asia,Asia,2003,7.11,272504021,93,3560366649
asia,Asia,2004,8.40,325685562,92,3553657402
asia,Asia,2005,9.52,373744560,90,3551981455
asia,Asia,2006,10.87,431644587,89,3540410849
asia,Asia,2007,13.72,551443201,86,3466874648
asia,Asia,2008,16.52,671397763,83,3393021036
asia,Asia,2009,19.27,791844642,81,3318385629
asia,Asia,2010,22.83,948735547,77,3206893283
asia,Asia,2011,25.65,1077651705,74,3122968102
asia,Asia,2012,28.54,1211654681,71,3033498695
asia,Asia,2013,31.50,1351017859,69,2938174675
asia,Asia,2014,35.13,1522183870,65,2810507142
asia,Asia,2015,35.74,1564002072,64,2811598988
asia,Asia,2016,39.49,1744637163,61,2673233870
asia,Asia,2017,45.02,2007481628,55,2451967490
asia,Asia,2018,46.26,2069850627,54,2404886728
asia,Asia,2019,46.22,2098336952,54,2441999736
europe,Europe,1990,0.05,399372,100,780917898
europe,Europe,1991,0.11,851059,100,783276786
europe,Europe,1992,0.19,1515490,100,785034805
europe,Europe,1993,0.30,2356110,100,786223369
europe,Europe,1994,0.56,4430581,99,785793116
europe,Europe,1995,1.06,8383832,99,783126196
europe,Europe,1996,1.93,15294671,98,777061986
europe,Europe,1997,3.52,27903634,96,765036675
europe,Europe,1998,5.73,45457047,94,747933267
europe,Europe,1999,9.85,78208234,90,715749078
europe,Europe,2000,14.04,111563033,86,683327843
europe,Europe,2001,17.47,139084216,83,657055061
europe,Europe,2002,24.55,195838269,75,601897866
europe,Europe,2003,29.72,237674802,70,561944658
europe,Europe,2004,33.86,274790561,66,536744520
europe,Europe,2005,37.12,302025339,63,511609972
europe,Europe,2006,40.38,329399374,60,486411682
europe,Europe,2007,46.33,379015818,54,439072822
europe,Europe,2008,50.12,411220452,50,409246203
europe,Europe,2009,53.37,439187594,47,383762529
europe,Europe,2010,58.95,486669818,41,338864919
europe,Europe,2011,61.40,508510533,39,319683940
europe,Europe,2012,66.16,549692830,34,281202581
europe,Europe,2013,68.94,574657617,31,258955934
europe,Europe,2014,71.36,596797050,29,239526047
europe,Europe,2015,72.13,605134957,28,233855695
europe,Europe,2016,74.45,626622458,26,214999114
europe,Europe,2017,76.99,649906187,23,194268411
europe,Europe,2018,80.52,681624684,19,164890737
europe,Europe,2019,81.88,694727734,18,153745420
americas,The Americas,1990,0.29,2077885,100,715689487
americas,The Americas,1991,0.43,3129866,100,725457882
americas,The Americas,1992,0.64,4733691,99,734662137
americas,The Americas,1993,0.84,6332288,99,743916003
americas,The Americas,1994,1.79,13642462,98,747581538
americas,The Americas,1995,3.39,26207543,97,746159579
americas,The Americas,1996,6.07,47549355,94,736164559
americas,The Americas,1997,8.32,66143199,92,729069754
americas,The Americas,1998,11.95,96385709,88,710329666
americas,The Americas,1999,14.81,121138653,85,696878986
americas,The Americas,2000,18.92,156857697,81,672119837
americas,The Americas,2001,22.32,187395339,78,652133335
americas,The Americas,2002,27.63,234794344,72,614926149
americas,The Americas,2003,30.17,259336864,70,600331075
americas,The Americas,2004,33.18,288518368,67,581026391
americas,The Americas,2005,35.82,315020870,64,564453592
americas,The Americas,2006,38.74,344604414,61,544884428
americas,The Americas,2007,42.64,383594853,57,515944879
americas,The Americas,2008,44.15,401549712,56,508026332
americas,The Americas,2009,46.11,424018186,54,495498548
americas,The Americas,2010,48.63,451932663,51,477367919
americas,The Americas,2011,50.99,478778164,49,460139016
americas,The Americas,2012,54.97,521344141,45,427036515
americas,The Americas,2013,55.92,535540844,44,422142294
americas,The Americas,2014,58.06,561358349,42,405462049
americas,The Americas,2015,62.44,609314311,38,366475365
americas,The Americas,2016,67.81,667622700,32,316960084
americas,The Americas,2017,72.09,715968579,28,277228904
americas,The Americas,2018,72.76,728794052,27,272852819
americas,The Americas,2019,73.82,745506112,26,264444018